Name                                                                         Stmts   Miss  Cover
/usr/local/lib/python2.7/site-packages/pymysql/constants/SERVER_STATUS.py       10      0   100%
/usr/local/lib/python2.7/site-packages/pymysql/constants/__init__.py             0      0   100%
/usr/local/lib/python2.7/site-packages/pymysql/converters.py                   148     98    34%
/usr/local/lib/python2.7/site-packages/pymysql/cursors.py                      266    152    43%
/usr/local/lib/python2.7/site-packages/pymysql/err.py                           40     14    65%
/usr/local/lib/python2.7/site-packages/pymysql/times.py                         12      3    75%
/usr/local/lib/python2.7/site-packages/pymysql/util.py                          14      7    50%
/usr/local/lib/python2.7/site-packages/werkzeug/__init__.py                     29      8    72%
/usr/local/lib/python2.7/site-packages/werkzeug/_compat.py                     146     76    48%
/usr/local/lib/python2.7/site-packages/werkzeug/_internal.py                   235    163    31%
/usr/local/lib/python2.7/site-packages/werkzeug/datastructures.py             1281    808    37%
/usr/local/lib/python2.7/site-packages/werkzeug/exceptions.py                  159     12    92%
/usr/local/lib/python2.7/site-packages/werkzeug/formparser.py                  246    197    20%
/usr/local/lib/python2.7/site-packages/werkzeug/http.py                        373    302    19%
/usr/local/lib/python2.7/site-packages/werkzeug/local.py                       210     66    69%
/usr/local/lib/python2.7/site-packages/werkzeug/routing.py                     580    280    52%
/usr/local/lib/python2.7/site-packages/werkzeug/test.py                        458    195    57%
/usr/local/lib/python2.7/site-packages/werkzeug/urls.py                        379    187    51%
/usr/local/lib/python2.7/site-packages/werkzeug/utils.py                       240    164    32%
/usr/local/lib/python2.7/site-packages/werkzeug/wrappers.py                    567    252    56%
/usr/local/lib/python2.7/site-packages/werkzeug/wsgi.py                        449    330    27%
------------------------------------------------------------------------------------------------
TOTAL                                                                        23773  14097    41%
